Código;Espacialidades;Índice de Gini 2000;Índice de Gini 2010;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;% de pobres 2010
4128625;Alto Paraíso;0,43;0,52;0,678;0,677;0,829;0,556;16,59
5200605;Alto Paraíso de Goiás;0,6;0,65;0,713;0,723;0,819;0,611;17,22
4100608;Alto Paraná;0,5;0,43;0,696;0,679;0,846;0,587;7,63
2100501;Alto Parnaíba;0,65;0,78;0,633;0,683;0,785;0,474;43,32
4100707;Alto Piquiri;0,67;0,44;0,676;0,669;0,798;0,578;8,77
3102100;Alto Rio Doce;0,58;0,46;0,62;0,595;0,828;0,483;29,5
3200359;Alto Rio Novo;0,55;0,52;0,664;0,634;0,815;0,567;26,19
2200400;Altos;0,55;0,55;0,614;0,59;0,767;0,512;36,67
2300705;Alto Santo;0,55;0,48;0,601;0,563;0,774;0,499;36,02
5100607;Alto Taquari;0,71;0,46;0,705;0,736;0,833;0,571;4,3
3501152;Alumínio;0,42;0,42;0,766;0,729;0,841;0,732;5,73
1300029;Alvarães;0,55;0,58;0,527;0,499;0,778;0,377;60,76
3102209;Alvarenga;0,57;0,52;0,592;0,589;0,798;0,441;32,55
3501202;Álvares Florence;0,53;0,41;0,728;0,701;0,806;0,683;3,15
3501301;Álvares Machado;0,53;0,46;0,758;0,712;0,834;0,732;5,37
3501400;Álvaro de Carvalho;0,4;0,38;0,688;0,669;0,805;0,605;4,59
3501509;Alvinlândia;0,48;0,53;0,722;0,721;0,791;0,659;5,36
3102308;Alvinópolis;0,54;0,46;0,676;0,651;0,822;0,577;14,05
1700707;Alvorada;0,53;0,47;0,708;0,677;0,843;0,623;11,18
4300604;Alvorada;0,44;0,43;0,699;0,694;0,874;0,564;7,32
3102407;Alvorada de Minas;0,73;0,58;0,572;0,57;0,794;0,414;48,29
1100346;Alvorada D'Oeste;0,65;0,53;0,643;0,654;0,763;0,534;23,63
2200459;Alvorada do Gurguéia;0,63;0,6;0,578;0,52;0,749;0,496;56,77
5200803;Alvorada do Norte;0,6;0,48;0,66;0,64;0,819;0,548;16,41
4100806;Alvorada do Sul;0,52;0,48;0,708;0,695;0,826;0,617;11,95
1400027;Amajari;0,64;0,75;0,484;0,437;0,815;0,319;75,51
5000609;Amambai;0,62;0,56;0,673;0,683;0,818;0,546;20,69
1600105;Amapá;0,61;0,66;0,642;0,631;0,79;0,532;42,01
2100550;Amapá do Maranhão;0,53;0,57;0,52;0,503;0,688;0,406;58,52
4100905;Amaporã;0,53;0,39;0,669;0,644;0,785;0,591;12,97
2600906;Amaraji;0,49;0,5;0,58;0,575;0,748;0,454;37
4300638;Amaral Ferrador;0,48;0,44;0,624;0,664;0,802;0,457;16,6
5200829;Amaralina;0,53;0,53;0,609;0,569;0,813;0,489;38,74
2200509;Amarante;0,57;0,53;0,598;0,574;0,75;0,497;38,76
2100600;Amarante do Maranhão;0,6;0,59;0,555;0,541;0,716;0,441;50
2901007;Amargosa;0,55;0,56;0,625;0,616;0,807;0,492;33,42
1300060;Amaturá;0,66;0,64;0,56;0,499;0,773;0,455;62,64
2901106;Amélia Rodrigues;0,56;0,49;0,666;0,609;0,81;0,6;28,19
2901155;América Dourada;0,56;0,5;0,561;0,506;0,751;0,464;52,57
3501608;Americana;0,49;0,47;0,811;0,8;0,876;0,76;1,39
5200852;Americano do Brasil;0,67;0,4;0,7;0,669;0,813;0,631;9,2
3501707;Américo Brasiliense;0,46;0,39;0,751;0,709;0,852;0,701;3,72
3501806;Américo de Campos;0,48;0,43;0,745;0,715;0,817;0,708;4,45
4300646;Ametista do Sul;0,57;0,58;0,682;0,697;0,809;0,562;16,67
2300754;Amontada;0,71;0,56;0,606;0,503;0,761;0,582;57,54
5200902;Amorinópolis;0,54;0,41;0,681;0,672;0,813;0,579;9,54
2500734;Amparo;0,47;0,5;0,606;0,537;0,752;0,551;47,32
3501905;Amparo;0,53;0,5;0,785;0,78;0,871;0,711;2,49
2800100;Amparo de São Francisco;0,61;0,51;0,611;0,569;0,728;0,55;37,22
3102506;Amparo do Serra;0,54;0,46;0,641;0,616;0,811;0,528;21,97
4101002;Ampére;0,58;0,48;0,709;0,699;0,824;0,62;9,11
2700201;Anadia;0,58;0,53;0,568;0,546;0,756;0,444;47,59
2901205;Anagé;0,54;0,48;0,54;0,549;0,771;0,371;39,06
4101051;Anahy;0,51;0,42;0,695;0,671;0,844;0,593;6,21
1500701;Anajás;0,56;0,62;0,484;0,506;0,774;0,29;62,02
2100709;Anajatuba;0,51;0,6;0,581;0,523;0,762;0,492;55,32
3502002;Analândia;0,51;0,53;0,754;0,745;0,861;0,668;4,81
1300086;Anamã;0,68;0,58;0,594;0,537;0,741;0,526;51,08
1701002;Ananás;0,55;0,48;0,671;0,621;0,804;0,605;22,42
1500800;Ananindeua;0,53;0,52;0,718;0,684;0,821;0,658;13,94
5201108;Anápolis;0,56;0,5;0,737;0,737;0,822;0,66;5,74
1500859;Anapu;0,65;0,58;0,548;0,563;0,788;0,371;44,8
2100808;Anapurus;0,74;0,54;0,581;0,511;0,764;0,502;54,45
5000708;Anastácio;0,56;0,47;0,663;0,663;0,789;0,557;14,29
5000807;Anaurilândia;0,53;0,51;0,67;0,676;0,826;0,538;14,67
3200409;Anchieta;0,54;0,46;0,73;0,696;0,856;0,654;10,53
4200804;Anchieta;0,46;0,44;0,699;0,703;0,8;0,608;10,1
2901304;Andaraí;0,64;0,59;0,555;0,54;0,764;0,415;53,89
4101101;Andirá;0,52;0,42;0,725;0,69;0,838;0,66;6,27
2901353;Andorinha;0,58;0,55;0,588;0,586;0,731;0,474;39,45
3102605;Andradas;0,56;0,44;0,734;0,731;0,878;0,617;2,51
3502101;Andradina;0,58;0,51;0,779;0,762;0,885;0,702;3,57
4300661;André da Rocha;0,54;0,5;0,72;0,738;0,837;0,605;6,76
